catg,catgU,questionnaire
Training Reseller Partner Support,TRAINING RESELLER PARTNER SUPPORT,<p> Support is provided in English only. Please provide following  information. <br /> <br /> Partner ID <br /> S User ID <br /> Activation Code (if applicable) <br /> Direct link to error encountered <br /> Screenshot of full page including log in method <br /> A step by step description to recreate the error </p>
Practice Systems>Login and Access to Practice Systems,PRACTICE SYSTEMS>LOGIN AND ACCESS TO PRACTICE SYSTEMS,"<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br /> Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
Practice Systems>Exercise / Demo  related,PRACTICE SYSTEMS>EXERCISE / DEMO  RELATED,"<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br />Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
Practice Systems>Subscription for Practice Systems,PRACTICE SYSTEMS>SUBSCRIPTION FOR PRACTICE SYSTEMS,<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br />Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
Practice Systems>System Queries,PRACTICE SYSTEMS>SYSTEM QUERIES,<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br />Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
Practice Systems>Others,PRACTICE SYSTEMS>OTHERS,<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br />Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
Practice Systems>For SAP Education Admins Only,PRACTICE SYSTEMS>FOR SAP EDUCATION ADMINS ONLY,<p> For SAP Instructors - please fill this out: <br />Instructor's contact details: <br />Course & Collection: <br />Business Event: <br />Number of Participants: <br />SAP system & client and/or application server: <br />Affected user/s and Credentials used: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable:<br /><br /> <br />For Self-paced Learners:  <br />Name and Email ID:<br />Learner ID:<br />Enrollment ID:<br />Course ID:<br />Group or Seat #:<br />Username / PW used on SAP system or exercises: <br />Nature of request: <br />Exercise / Demo affected: <br />Transaction code:<br />Steps to recreate the issue:<br />Error message / screenshot if applicable: </p>"
"Registration, Login & Access>Access issue","REGISTRATION, LOGIN & ACCESS>ACCESS ISSUE",<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
"Registration, Login & Access>How to","REGISTRATION, LOGIN & ACCESS>HOW TO",<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
"Registration, Login & Access>Others","REGISTRATION, LOGIN & ACCESS>OTHERS",<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
"Registration, Login & Access>Service request","REGISTRATION, LOGIN & ACCESS>SERVICE REQUEST",<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Learning Journey,LEARNING CONTENT>LEARNING JOURNEY,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Customer Configuration,LEARNING CONTENT>CUSTOMER CONFIGURATION,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Content issue,LEARNING CONTENT>CONTENT ISSUE,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Learning Rooms,LEARNING CONTENT>LEARNING ROOMS,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Mobile,LEARNING CONTENT>MOBILE,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Content>Others,LEARNING CONTENT>OTHERS,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Badge Expired,CERTIFICATION & STAY CURRENT>BADGE EXPIRED,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Digital Badge Missing,CERTIFICATION & STAY CURRENT>DIGITAL BADGE MISSING,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Exam Content,CERTIFICATION & STAY CURRENT>EXAM CONTENT,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Score Report,CERTIFICATION & STAY CURRENT>SCORE REPORT,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Stay Current,CERTIFICATION & STAY CURRENT>STAY CURRENT,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Certification & Stay Current>Others,CERTIFICATION & STAY CURRENT>OTHER,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Technical issue>Downtime,TECHNICAL ISSUE>DOWNTIME,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Technical issue>Function does not work,TECHNICAL ISSUE>FUNCTION DOES NOT WORK,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Technical issue>Performance issues,TECHNICAL ISSUE>PERFORMANCE ISSUES,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Learning Experience – Technical Issues,LEARNING EXPERIENCE – TECHNICAL ISSUES,<p> Please provide the following (applicable) information <br /> Email/User ID for login: <br /> What SAP Platform (URLs)? <br/> Describe the issue (detail steps with screenshots): </p> If the issue is course content related; please provide the course name/code unit name & page number. <br /> Please attach your enrollment confirmation letter (if applicable). <br /> Screenshots of any error message will assist in quicker resolution times. </p>
Practice System Delivery (SAP Internal),PRACTICE SYSTEM DELIVERY (SAP INTERNAL),"<p>Please describe your concern by providing the following information, if available:<br/><br/><span style="color:red;">NOTE: This category is intended for additional support (e.g. provisioning/extension/Preparation etc.) from TSD Team on Practice System Landscapes per se.</span><br/><br/>Course &amp; Collection:<br/>Event / Class ID:<br/>Location:<br/>Start and End Date of Class:<br/>Number of Participants:<br/>Cost Center or IO (For SAP Internal Only)<br/>Nature of Request:</p>"
Booking & Order,BOOKING & ORDER,"<p> In order to provide needed support, please make sure to select correct service category!</p><p> If you are encountering any issues with SAP Learning Hub or SAP Certification subscriptions (including exam scheduling issues), please raise a case with <strong>Technical Queries</strong> service category.</p><p>For queries related to orders or purchases made via sap.com/SAP Store for SAP Learning Hub or SAP Certification exam, two attempts, including invoicing, renewals and cancellations, please reach out to SAP Store team using the following link:</p><p><a href="https://store.sap.com/dcp/en/supportform" target="_blank">https://store.sap.com/dcp/en/supportform </a></p><p> If you have another related case raised to us, please provide the Case ID number as well.</p>"
Learning Advisory,LEARNING ADVISORY,"<p>To better assist you, please provide the following information:<br/> - SAP solution, module and role for which you wish to learn or get certified </br> - Which SAP product or learning offering is your inquiry related to (e.g. SAP Learning Hub, SAP Certification, Instructor led classes, etc) </br>  </br> Please provide in detail the assistance or advice required </p>"
Learning Virtual Class Support,LEARNING VIRTUAL CLASS SUPPORT,"<p>To better assist you, please provide the following information: <br/><br/>1. Indicate the course you need support with: <br/>- Course code <br/>- Course start/end date <br/><br/>2. Participant details: <br/>- Name <br/>- Email address <br/><br/>3. Describe in detail the support you require (e.g. missing Zoom connection details, unreceived or inaccessible learning materials, connection issues, etc)</p>"
Practice Systems,PRACTICE SYSTEMS,"<p><b>For instructors:</b><br/>Instructor's contact details: &lt;name &amp; email address&gt;<br/>Course &amp; Collection:<br/>Event or Class ID:<br/>Number of Participants:<br/>SAP system &amp; client and/or Application server:<br/>Affected user/s or Group Number and credentials used:<br/>Exercise / Demo affected:<br/>Transaction code (Fiori Apps):<br/>Steps to recreate the issue:<br/>Error message/screenshot if applicable:<br/><br/><b>For self-paced learners:</b><br/>Name and email ID:<br/>Learner ID:<br/>Enrollment ID:<br/>Course ID:<br/>Group or seat:<br/>Username/PW used on SAP system or exercise:<br/>Nature of request:<br/>Exercise / demo affected:<br/>Transaction code:<br/>Steps to recreate the issue:<br/>Error message/screenshot if applicable:</p>"
Certification & Stay Certified,CERTIFICATION & STAY CERTIFIED,"<p>Please include the following details for consideration by our support agents:<br/>- Your SAP Universal ID<br/>- S/P-User<br/>- Certificate name/code<br/><br/>Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
Access & Universal ID,ACCESS & UNIVERSAL ID,"<p>Please include the following details for consideration by our support agents:<br/>- Customer name/number<br/>- Your SAP Universal ID<br/>- S/P-User<br/><br/>Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
SAP Learning Hub Admin Service,SAP LEARNING HUB ADMIN SERVICE,"<p>Please include the following details for consideration by our support agents:<br/>- Customer name/number<br/>- Order ID<br/>- Your SAP Universal ID<br/>- S/P-User or email address of your authorised admin<br/><br/>Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
