lvl1,lvl2,questionnaire
LEARNING EXPERIENCE – TECHNICAL ISSUES,ADMIN CONSOLE,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - Your SAP Universal ID  <br/> - S/P-User or email address of your authorised admin <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,REPORTING,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - Your SAP Universal ID  <br/> - S/P-User or email address of your authorised admin <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,ACCESS/SUBSCRIPTION,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,UID ISSUE,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,HOW TO,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,OTHER,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,BADGE EXPIRED,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,CERTIFICATION EXTENSION FOR PARTNERS,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,DIGITAL BADGE MISSING,"<p>Please include the following details for consideration by our support agents:<br/>- Your SAP Universal ID<br/>- S/P-User<br/>- Certificate name/code<br/><br/>Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING EXPERIENCE – TECHNICAL ISSUES,EXAM CONTENT,"<p>Please include the following details for consideration by our support agents:<br/>- Your SAP Universal ID<br/>- S/P-User<br/>- Certificate name/code<br/><br/>Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
